epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4459,1.34132,2.07783,1.58301,0.89804,0.85644,0.92318,0.52207,1.25074,1.61238,1.58119,0.000661905,0.000661905,0.000661905
2,117.641,1.2439,1.4041,1.44538,0.74488,0.82673,0.81545,0.38468,1.57419,1.48754,1.84473,0.00131542,0.00131542,0.00131542
3,175.226,1.23557,1.20245,1.43949,0.71527,0.81931,0.76888,0.31424,1.68226,3.77957,2.02256,0.00195573,0.00195573,0.00195573
4,233.229,1.24376,1.13021,1.43047,0.88111,0.81683,0.89707,0.49054,1.50607,1.13629,1.8448,0.0019406,0.0019406,0.0019406
5,292.086,1.20495,1.0489,1.40233,0.93618,0.9505,0.97536,0.56792,1.33846,0.77637,1.61266,0.0019208,0.0019208,0.0019208
6,348.846,1.17435,1.00931,1.3882,0.97229,0.96287,0.98875,0.61263,1.28182,0.73805,1.54998,0.001901,0.001901,0.001901
7,406.63,1.16924,0.96731,1.37861,0.95211,0.94802,0.97499,0.56628,1.41937,0.78672,1.6446,0.0018812,0.0018812,0.0018812
8,464.195,1.13254,0.93595,1.35955,0.96672,0.97525,0.98571,0.60399,1.29206,0.60728,1.55014,0.0018614,0.0018614,0.0018614
9,521.914,1.13489,0.91408,1.36017,0.96248,0.95256,0.98093,0.58484,1.30794,0.63222,1.5793,0.0018416,0.0018416,0.0018416
10,580.037,1.11172,0.90583,1.34462,0.98484,0.96455,0.98878,0.5912,1.34488,0.60715,1.59453,0.0018218,0.0018218,0.0018218
11,638.575,1.09864,0.87367,1.3365,0.98497,0.97347,0.99005,0.62472,1.2441,0.64093,1.52313,0.001802,0.001802,0.001802
12,695.917,1.11079,0.87654,1.34381,0.97306,0.98337,0.98841,0.65957,1.16634,0.54736,1.45457,0.0017822,0.0017822,0.0017822
13,755.227,1.09783,0.85498,1.33516,0.97298,0.98062,0.98702,0.61828,1.28744,0.55746,1.53849,0.0017624,0.0017624,0.0017624
