epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.939,1.44826,2.16743,1.60896,0.94515,0.943,0.98269,0.6069,1.23547,1.83947,1.57058,0.000659091,0.000659091,0.000659091
2,1047.8,1.27317,1.46655,1.41499,0.92526,0.92392,0.97337,0.5427,1.32052,1.73693,1.69618,0.00131263,0.00131263,0.00131263
3,1497.64,1.28385,1.22777,1.41553,0.96445,0.96517,0.98592,0.57605,1.34934,1.50965,1.65154,0.00195297,0.00195297,0.00195297
4,1944.51,1.22737,1.09425,1.38189,0.75046,0.73316,0.78529,0.44229,1.55284,1.31162,1.79528,0.0019406,0.0019406,0.0019406
5,2413.71,1.23052,0.99811,1.40237,0.98517,0.99182,0.99006,0.58398,1.37498,0.76662,1.58645,0.0019208,0.0019208,0.0019208
6,2929.05,1.19502,0.95088,1.35312,0.98891,0.99005,0.99147,0.6518,1.13854,0.78244,1.4387,0.001901,0.001901,0.001901
7,3437.96,1.1997,0.93121,1.35749,0.9843,0.99005,0.98904,0.65598,1.13503,0.62358,1.41535,0.0018812,0.0018812,0.0018812
8,3912.74,1.16142,0.90758,1.34781,0.97736,0.98507,0.98998,0.65958,1.15799,0.58459,1.41634,0.0018614,0.0018614,0.0018614
9,4386.86,1.17222,0.86053,1.32482,0.97018,0.97102,0.98006,0.62054,1.18784,0.65095,1.45461,0.0018416,0.0018416,0.0018416
10,4857.36,1.19266,0.86863,1.35977,0.95925,0.95522,0.98552,0.60687,1.31139,0.66042,1.53468,0.0018218,0.0018218,0.0018218
