epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7428,1.29512,1.62582,1.53079,0.97845,0.93232,0.97864,0.61665,1.16023,1.30915,1.55972,0.0668771,3.3156e-05,3.3156e-05
2,145.54,1.08891,1.04594,1.36551,0.98647,0.9731,0.99075,0.66201,1.1254,0.65727,1.52277,0.0335765,6.58311e-05,6.58311e-05
3,209.259,1.03558,0.92316,1.33056,0.98935,0.98665,0.99444,0.69591,1.07407,0.55513,1.46202,0.000275151,9.78462e-05,9.78462e-05
4,274.489,0.99176,0.84558,1.30037,0.99009,0.99047,0.99414,0.6892,1.10541,0.53056,1.49846,9.703e-05,9.703e-05,9.703e-05
5,338.073,0.97476,0.81626,1.28371,0.99235,0.98915,0.99431,0.71525,1.02347,0.50015,1.43324,9.604e-05,9.604e-05,9.604e-05
6,402.172,0.96546,0.79686,1.28118,0.99405,0.99142,0.99452,0.7191,1.0028,0.47676,1.40701,9.505e-05,9.505e-05,9.505e-05
7,465.418,0.93907,0.75728,1.26249,0.99491,0.9857,0.99458,0.72659,0.99483,0.46083,1.39174,9.406e-05,9.406e-05,9.406e-05
8,528.801,0.95101,0.74976,1.26823,0.99234,0.99237,0.99467,0.70926,1.0621,0.45418,1.43475,9.307e-05,9.307e-05,9.307e-05
9,592.684,0.92196,0.71963,1.2544,0.99238,0.99333,0.99476,0.72512,1.01947,0.45887,1.4153,9.208e-05,9.208e-05,9.208e-05
10,656.754,0.91595,0.71171,1.25233,0.99144,0.99322,0.99471,0.74423,0.97876,0.41676,1.37771,9.109e-05,9.109e-05,9.109e-05
11,725.084,0.91238,0.70062,1.24418,0.99147,0.99523,0.99482,0.75671,0.93354,0.40971,1.34071,9.01e-05,9.01e-05,9.01e-05
12,789.777,0.91023,0.68867,1.24482,0.99333,0.99399,0.99484,0.75665,0.98406,0.39998,1.38604,8.911e-05,8.911e-05,8.911e-05
13,853.916,0.89811,0.67517,1.23658,0.99239,0.99465,0.99466,0.75525,0.95499,0.39858,1.35579,8.812e-05,8.812e-05,8.812e-05
14,918.575,0.89963,0.66002,1.23435,0.99425,0.98942,0.99478,0.75492,0.96043,0.40681,1.3509,8.713e-05,8.713e-05,8.713e-05
15,984.951,0.89301,0.64912,1.23365,0.99683,0.99047,0.99478,0.7627,0.94331,0.3897,1.34566,8.614e-05,8.614e-05,8.614e-05
16,1058.97,0.8733,0.64756,1.22146,0.99388,0.99523,0.99468,0.75627,0.97694,0.38056,1.36239,8.515e-05,8.515e-05,8.515e-05
17,1127.21,0.87917,0.64609,1.21964,0.99809,0.99415,0.99473,0.77048,0.93297,0.38741,1.3333,8.416e-05,8.416e-05,8.416e-05
18,1194.65,0.88509,0.63323,1.23061,0.9924,0.99614,0.99477,0.76568,0.92085,0.38078,1.32384,8.317e-05,8.317e-05,8.317e-05
19,1262.13,0.87197,0.63722,1.21695,0.99428,0.99503,0.99425,0.76133,0.94114,0.37485,1.33205,8.218e-05,8.218e-05,8.218e-05
20,1330.17,0.86379,0.60275,1.21348,0.99713,0.99367,0.99472,0.77449,0.92565,0.36222,1.32453,8.119e-05,8.119e-05,8.119e-05
21,1397.89,0.8632,0.61765,1.21574,0.99429,0.99547,0.99476,0.76672,0.92342,0.36471,1.3282,8.02e-05,8.02e-05,8.02e-05
22,1465.47,0.86039,0.60843,1.20844,0.99523,0.99385,0.99418,0.76871,0.91985,0.36843,1.32231,7.921e-05,7.921e-05,7.921e-05
23,1532.88,0.86042,0.61027,1.21005,0.99436,0.99523,0.99467,0.75934,0.95531,0.37933,1.34982,7.822e-05,7.822e-05,7.822e-05
24,1601.22,0.86672,0.60898,1.21483,0.99519,0.99619,0.99463,0.77767,0.91785,0.36116,1.31676,7.723e-05,7.723e-05,7.723e-05
25,1668.4,0.85243,0.60726,1.20374,0.99523,0.99521,0.99474,0.76344,0.94397,0.36587,1.34021,7.624e-05,7.624e-05,7.624e-05
26,1735.95,0.85226,0.593,1.20934,0.99291,0.99237,0.99415,0.75287,0.96564,0.37797,1.3569,7.525e-05,7.525e-05,7.525e-05
27,1803.04,0.84969,0.59335,1.20318,0.99637,0.99523,0.99477,0.7724,0.91327,0.35838,1.31557,7.426e-05,7.426e-05,7.426e-05
28,1870.71,0.84926,0.58049,1.20097,0.99619,0.996,0.99414,0.77297,0.91647,0.35097,1.31393,7.327e-05,7.327e-05,7.327e-05
29,1938.63,0.84582,0.57898,1.19723,0.99335,0.99689,0.99441,0.7781,0.903,0.35016,1.30886,7.228e-05,7.228e-05,7.228e-05
30,2005.77,0.84508,0.57808,1.20161,0.9943,0.99688,0.99451,0.77551,0.91499,0.34721,1.32685,7.129e-05,7.129e-05,7.129e-05
31,2072.81,0.84374,0.56652,1.21159,0.99407,0.99714,0.99475,0.7808,0.90122,0.34152,1.29949,7.03e-05,7.03e-05,7.03e-05
32,2139.68,0.83936,0.5712,1.20002,0.9943,0.99709,0.9947,0.78361,0.90317,0.34981,1.30723,6.931e-05,6.931e-05,6.931e-05
33,2206.77,0.83737,0.5657,1.19965,0.99392,0.99619,0.99448,0.77789,0.92785,0.35179,1.3235,6.832e-05,6.832e-05,6.832e-05
34,2274.51,0.84058,0.56166,1.20024,0.99764,0.99428,0.99457,0.77385,0.91256,0.35248,1.30994,6.733e-05,6.733e-05,6.733e-05
35,2340.8,0.82901,0.55211,1.1943,0.99633,0.99619,0.99462,0.7794,0.89677,0.3389,1.29602,6.634e-05,6.634e-05,6.634e-05
36,2404.9,0.82697,0.56584,1.19574,0.99712,0.99619,0.99464,0.78738,0.88573,0.33721,1.29001,6.535e-05,6.535e-05,6.535e-05
37,2469.52,0.83706,0.55756,1.19265,0.99639,0.99523,0.99464,0.78111,0.90263,0.34366,1.30474,6.436e-05,6.436e-05,6.436e-05
38,2533.96,0.82631,0.54844,1.18413,0.99513,0.99619,0.9948,0.78754,0.89163,0.33994,1.29644,6.337e-05,6.337e-05,6.337e-05
