epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.407,1.17756,1.75491,0.02799,0.94435,0.95298,0.98113,0.5376,1.29759,0.48943,0.04245,0.000332268,0.000332268,0.0671054
2,378.57,1.07564,1.15648,0.02532,0.73548,0.72546,0.76281,0.30378,1.76497,1.75752,0.0581,0.000659012,0.000659012,0.0340988
3,545.915,1.02486,1.06618,0.02404,0.93798,0.89211,0.9692,0.56522,1.15925,0.52188,0.03958,0.000979156,0.000979156,0.00108565
4,712.362,0.99215,1.0079,0.02315,0.97196,0.96347,0.98935,0.66716,0.91866,0.34405,0.02868,0.0009703,0.0009703,0.0009703
5,881.885,0.97907,0.94908,0.02284,0.97493,0.97073,0.99139,0.69438,0.89032,0.35316,0.02796,0.0009604,0.0009604,0.0009604
6,1054.31,0.94756,0.91948,0.02167,0.97361,0.96483,0.99264,0.69912,0.86562,0.32907,0.02667,0.0009505,0.0009505,0.0009505
7,1226.28,0.94199,0.90901,0.02167,0.96027,0.97901,0.99182,0.68422,0.89686,0.32925,0.02741,0.0009406,0.0009406,0.0009406
8,1392.91,0.91699,0.86568,0.0213,0.97138,0.96248,0.99063,0.66584,0.91814,0.34487,0.02898,0.0009307,0.0009307,0.0009307
9,1559.8,0.92218,0.84588,0.02113,0.97948,0.97483,0.99355,0.66824,0.94236,0.31966,0.02917,0.0009208,0.0009208,0.0009208
10,1724.26,0.89892,0.84004,0.02059,0.98904,0.98582,0.99406,0.71323,0.84249,0.27157,0.02584,0.0009109,0.0009109,0.0009109
11,1888.52,0.89755,0.80564,0.02043,0.97676,0.97747,0.99306,0.69004,0.8724,0.30511,0.02647,0.000901,0.000901,0.000901
12,2053.42,0.87905,0.81096,0.01982,0.98006,0.97504,0.99279,0.70894,0.83576,0.39821,0.02588,0.0008911,0.0008911,0.0008911
13,2218.16,0.87468,0.7993,0.01982,0.97346,0.98922,0.99298,0.71057,0.84243,0.28975,0.02557,0.0008812,0.0008812,0.0008812
14,2383.61,0.86192,0.78325,0.01965,0.98807,0.98638,0.99427,0.71495,0.81957,0.27505,0.02519,0.0008713,0.0008713,0.0008713
15,2555.33,0.85769,0.76143,0.01946,0.98742,0.98242,0.99377,0.71794,0.81518,0.28032,0.02473,0.0008614,0.0008614,0.0008614
16,2725.48,0.86561,0.74014,0.01951,0.99018,0.97247,0.99393,0.71269,0.84107,0.27872,0.02613,0.0008515,0.0008515,0.0008515
17,2893.93,0.85787,0.74576,0.01922,0.9917,0.98866,0.99428,0.73094,0.80105,0.25424,0.02424,0.0008416,0.0008416,0.0008416
18,3060.52,0.84169,0.738,0.01884,0.98811,0.99017,0.99453,0.73299,0.78104,0.25685,0.02357,0.0008317,0.0008317,0.0008317
19,3229.51,0.83616,0.71558,0.01867,0.98978,0.98912,0.99407,0.72759,0.793,0.26429,0.02417,0.0008218,0.0008218,0.0008218
20,3397.33,0.83339,0.69954,0.01885,0.98695,0.98656,0.9939,0.71766,0.83033,0.26953,0.02562,0.0008119,0.0008119,0.0008119
21,3564.75,0.82389,0.6944,0.01846,0.992,0.98525,0.99429,0.73493,0.77924,0.24872,0.02366,0.000802,0.000802,0.000802
22,3733.01,0.83007,0.71591,0.01869,0.98811,0.9899,0.99333,0.72303,0.79991,0.26556,0.02425,0.0007921,0.0007921,0.0007921
23,3900.16,0.83141,0.7079,0.01866,0.98992,0.98355,0.99439,0.72435,0.80633,0.26067,0.02439,0.0007822,0.0007822,0.0007822
24,4067.19,0.83048,0.68509,0.01853,0.99487,0.98966,0.99449,0.73156,0.78663,0.25129,0.02372,0.0007723,0.0007723,0.0007723
25,4234.51,0.81343,0.68764,0.01807,0.99244,0.98922,0.99449,0.72878,0.78788,0.25202,0.02403,0.0007624,0.0007624,0.0007624
26,4401.99,0.81163,0.69252,0.01782,0.99488,0.9915,0.99425,0.73421,0.77795,0.26167,0.02346,0.0007525,0.0007525,0.0007525
27,4570.6,0.81545,0.67429,0.01823,0.9819,0.98464,0.99342,0.72683,0.79853,0.26746,0.02423,0.0007426,0.0007426,0.0007426
28,4743.7,0.80487,0.66008,0.01785,0.99386,0.99092,0.99444,0.74352,0.75101,0.23973,0.02253,0.0007327,0.0007327,0.0007327
29,4915.19,0.80197,0.67335,0.01772,0.99262,0.99245,0.99455,0.73982,0.77297,0.24516,0.02316,0.0007228,0.0007228,0.0007228
30,5083.35,0.79848,0.6632,0.01778,0.98907,0.98866,0.9943,0.74583,0.74113,0.24433,0.02224,0.0007129,0.0007129,0.0007129
31,5251.1,0.79766,0.64521,0.01766,0.98811,0.98922,0.99453,0.73642,0.77403,0.25572,0.02347,0.000703,0.000703,0.000703
32,5417.18,0.79928,0.62297,0.0177,0.99489,0.99433,0.99463,0.74645,0.75326,0.23852,0.02245,0.0006931,0.0006931,0.0006931
33,5583.48,0.79259,0.63487,0.01767,0.99092,0.98999,0.99458,0.74582,0.7515,0.24002,0.02246,0.0006832,0.0006832,0.0006832
34,5746.59,0.78964,0.62535,0.01775,0.99433,0.995,0.99459,0.74331,0.76185,0.23387,0.02272,0.0006733,0.0006733,0.0006733
35,5910.01,0.78904,0.62459,0.01739,0.99262,0.99119,0.99449,0.75071,0.74028,0.23811,0.02204,0.0006634,0.0006634,0.0006634
36,6073.34,0.77635,0.63346,0.01726,0.99869,0.99149,0.99475,0.75012,0.75172,0.234,0.02251,0.0006535,0.0006535,0.0006535
37,6236.66,0.77239,0.62814,0.0171,0.99034,0.98846,0.99416,0.74836,0.75616,0.24376,0.02285,0.0006436,0.0006436,0.0006436
38,6400.96,0.76366,0.62003,0.01685,0.99708,0.99433,0.99455,0.755,0.74445,0.22926,0.02222,0.0006337,0.0006337,0.0006337
39,6565.23,0.77513,0.60259,0.01711,0.9932,0.994,0.99473,0.74615,0.74894,0.23493,0.02269,0.0006238,0.0006238,0.0006238
40,6730.01,0.76319,0.61853,0.01687,0.99303,0.98752,0.99474,0.75493,0.72773,0.23795,0.02182,0.0006139,0.0006139,0.0006139
41,6893.28,0.77151,0.61336,0.0171,0.98772,0.99092,0.99456,0.75522,0.73133,0.23862,0.02173,0.000604,0.000604,0.000604
42,7056.12,0.75652,0.606,0.01668,0.99605,0.99319,0.99467,0.75393,0.73656,0.22971,0.02202,0.0005941,0.0005941,0.0005941
43,7219.76,0.76637,0.59466,0.01681,0.99095,0.99398,0.99455,0.75431,0.72609,0.22953,0.02171,0.0005842,0.0005842,0.0005842
44,7389.23,0.76971,0.59482,0.01695,0.99619,0.99319,0.99471,0.75302,0.73748,0.22762,0.02209,0.0005743,0.0005743,0.0005743
45,7563.23,0.75662,0.58854,0.01672,0.99152,0.99501,0.99471,0.75226,0.73615,0.22875,0.02204,0.0005644,0.0005644,0.0005644
46,7736.15,0.75703,0.58948,0.01673,0.99377,0.99495,0.99468,0.75806,0.72277,0.22822,0.02156,0.0005545,0.0005545,0.0005545
47,7905.09,0.75458,0.58714,0.01643,0.99565,0.99433,0.99474,0.74801,0.74671,0.23091,0.02224,0.0005446,0.0005446,0.0005446
48,8070.94,0.75056,0.58046,0.0165,0.99038,0.99279,0.99472,0.75412,0.73195,0.23193,0.02188,0.0005347,0.0005347,0.0005347
49,8238.07,0.7498,0.59084,0.01651,0.9949,0.99522,0.99468,0.75421,0.72464,0.22662,0.02174,0.0005248,0.0005248,0.0005248
50,8404.8,0.74516,0.57991,0.01645,0.99392,0.99376,0.99409,0.76114,0.71757,0.22311,0.02132,0.0005149,0.0005149,0.0005149
51,8573.38,0.74161,0.58193,0.01648,0.99607,0.9949,0.99478,0.76075,0.71886,0.223,0.02138,0.000505,0.000505,0.000505
52,8740.74,0.73037,0.57087,0.01607,0.99546,0.99415,0.99474,0.76682,0.70619,0.22016,0.02104,0.0004951,0.0004951,0.0004951
53,8907.72,0.73705,0.57217,0.01622,0.99443,0.9949,0.99469,0.76471,0.72018,0.22357,0.02158,0.0004852,0.0004852,0.0004852
54,9075.52,0.73753,0.56635,0.01621,0.99561,0.99603,0.99468,0.76117,0.71874,0.22567,0.02139,0.0004753,0.0004753,0.0004753
55,9242.47,0.73463,0.55709,0.01618,0.99222,0.99206,0.9945,0.76592,0.70968,0.22694,0.02109,0.0004654,0.0004654,0.0004654
56,9411.04,0.72487,0.57641,0.01584,0.99253,0.99263,0.99455,0.76284,0.70828,0.22482,0.02106,0.0004555,0.0004555,0.0004555
57,9579.77,0.72738,0.56219,0.01592,0.99659,0.99534,0.99472,0.76356,0.71681,0.22232,0.02142,0.0004456,0.0004456,0.0004456
58,9748.89,0.72478,0.55468,0.01582,0.99677,0.9966,0.99476,0.77003,0.70798,0.21869,0.02104,0.0004357,0.0004357,0.0004357
59,9918.03,0.71986,0.56352,0.01565,0.997,0.99546,0.99482,0.76753,0.7181,0.22114,0.02136,0.0004258,0.0004258,0.0004258
60,10085.7,0.72614,0.55185,0.01594,0.99659,0.99484,0.99479,0.76186,0.714,0.2202,0.02118,0.0004159,0.0004159,0.0004159
61,10254.7,0.73052,0.55031,0.01587,0.9949,0.9949,0.99478,0.76488,0.71157,0.22007,0.02111,0.000406,0.000406,0.000406
62,10423.4,0.71401,0.53787,0.01563,0.99546,0.99566,0.99466,0.76683,0.71081,0.21898,0.02109,0.0003961,0.0003961,0.0003961
63,10591,0.7169,0.5516,0.01563,0.99488,0.99159,0.99464,0.7669,0.71326,0.22487,0.02124,0.0003862,0.0003862,0.0003862
64,10759.3,0.7082,0.5492,0.01554,0.99753,0.9966,0.99472,0.7684,0.70749,0.21815,0.02104,0.0003763,0.0003763,0.0003763
65,10927.8,0.70769,0.53672,0.0154,0.99452,0.99376,0.99475,0.76438,0.71134,0.22163,0.02117,0.0003664,0.0003664,0.0003664
66,11095.7,0.71015,0.5371,0.01543,0.99692,0.99603,0.9948,0.76613,0.70959,0.21747,0.02103,0.0003565,0.0003565,0.0003565
67,11264,0.69815,0.5347,0.01528,0.99597,0.9983,0.99477,0.76984,0.70907,0.21748,0.02105,0.0003466,0.0003466,0.0003466
68,11431,0.70167,0.53731,0.01534,0.99572,0.9949,0.99472,0.76968,0.70036,0.218,0.02079,0.0003367,0.0003367,0.0003367
