epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.284,1.08335,1.46893,1.61142,0.95392,0.91592,0.96121,0.57606,1.09592,0.84101,1.7455,0.000332268,0.000332268,0.0671054
2,308.568,0.97458,1.10458,1.48943,0.90695,0.93984,0.95802,0.50346,1.23239,0.89534,1.88032,0.000659012,0.000659012,0.0340988
3,460.025,0.92835,1.03021,1.44736,0.9606,0.89887,0.95803,0.54145,1.17852,0.81018,1.91087,0.000979156,0.000979156,0.00108565
4,610.413,0.9198,0.99897,1.43663,0.9598,0.97448,0.99051,0.66409,0.94578,0.5595,1.55019,0.0009703,0.0009703,0.0009703
5,759.612,0.88928,0.94234,1.40311,0.98503,0.97016,0.99107,0.67544,0.88306,0.52174,1.4837,0.0009604,0.0009604,0.0009604
6,910.192,0.86361,0.89919,1.37406,0.97614,0.97454,0.99225,0.70391,0.81967,0.49095,1.39687,0.0009505,0.0009505,0.0009505
7,1056.84,0.85453,0.88703,1.37623,0.95606,0.97391,0.99057,0.71599,0.80224,0.45849,1.39268,0.0009406,0.0009406,0.0009406
8,1208.79,0.8333,0.84316,1.3562,0.96763,0.9833,0.99344,0.69912,0.82327,0.4982,1.41693,0.0009307,0.0009307,0.0009307
9,1355.84,0.82463,0.82457,1.3412,0.99069,0.98639,0.99423,0.71115,0.82615,0.43101,1.4126,0.0009208,0.0009208,0.0009208
10,1501.98,0.81707,0.81122,1.33686,0.99093,0.99122,0.99441,0.72667,0.77395,0.409,1.3583,0.0009109,0.0009109,0.0009109
11,1647.94,0.81272,0.80134,1.32993,0.98787,0.98185,0.99412,0.71701,0.83435,0.4712,1.42424,0.000901,0.000901,0.000901
12,1794.93,0.80219,0.78559,1.31763,0.99208,0.99447,0.99456,0.73008,0.78544,0.40604,1.36686,0.0008911,0.0008911,0.0008911
13,1943.76,0.79814,0.77363,1.3145,0.99358,0.99376,0.99444,0.72732,0.79262,0.42014,1.37706,0.0008812,0.0008812,0.0008812
14,2092.01,0.78639,0.76256,1.31056,0.99168,0.99433,0.99468,0.72215,0.80608,0.42944,1.38418,0.0008713,0.0008713,0.0008713
15,2237.81,0.78202,0.74947,1.30342,0.99126,0.99319,0.99462,0.73364,0.77439,0.38807,1.35675,0.0008614,0.0008614,0.0008614
16,2384.31,0.78046,0.73615,1.29413,0.99545,0.99252,0.99482,0.72779,0.79409,0.40027,1.37403,0.0008515,0.0008515,0.0008515
17,2532.96,0.7762,0.72791,1.28777,0.99431,0.99187,0.99465,0.73282,0.76114,0.40412,1.33816,0.0008416,0.0008416,0.0008416
18,2682.34,0.76919,0.72024,1.28636,0.997,0.99206,0.99464,0.74054,0.76861,0.39485,1.34488,0.0008317,0.0008317,0.0008317
19,2827.96,0.7653,0.71068,1.28627,0.9927,0.98979,0.99439,0.74893,0.75593,0.37474,1.32914,0.0008218,0.0008218,0.0008218
20,2975.21,0.75834,0.70161,1.27952,0.99031,0.99319,0.99461,0.73816,0.77259,0.38324,1.34863,0.0008119,0.0008119,0.0008119
21,3123.13,0.75064,0.69943,1.2735,0.99151,0.99149,0.99454,0.74409,0.75755,0.38454,1.33385,0.000802,0.000802,0.000802
22,3272.64,0.75497,0.70086,1.27844,0.99441,0.9949,0.9946,0.74414,0.74632,0.37403,1.32824,0.0007921,0.0007921,0.0007921
23,3420.82,0.75634,0.69358,1.27614,0.99346,0.99433,0.99447,0.7446,0.74808,0.36638,1.32377,0.0007822,0.0007822,0.0007822
24,3570.01,0.75409,0.6717,1.26796,0.99309,0.99546,0.99447,0.74804,0.74943,0.36656,1.32341,0.0007723,0.0007723,0.0007723
25,3719.02,0.74727,0.68135,1.27093,0.99264,0.99387,0.99471,0.75536,0.7423,0.35758,1.32298,0.0007624,0.0007624,0.0007624
26,3868.29,0.74913,0.68009,1.26874,0.99277,0.9949,0.99475,0.74819,0.745,0.35598,1.31272,0.0007525,0.0007525,0.0007525
27,4018.63,0.74413,0.66705,1.26601,0.99368,0.99433,0.9947,0.75497,0.75247,0.36271,1.32386,0.0007426,0.0007426,0.0007426
28,4169.13,0.74078,0.66408,1.25909,0.99657,0.98806,0.99473,0.75199,0.73908,0.35936,1.31177,0.0007327,0.0007327,0.0007327
29,4318.61,0.73752,0.65894,1.25901,0.99716,0.9958,0.99478,0.75788,0.73261,0.34223,1.30308,0.0007228,0.0007228,0.0007228
30,4466.98,0.73628,0.64511,1.25635,0.99321,0.99611,0.9947,0.75609,0.73771,0.35893,1.30707,0.0007129,0.0007129,0.0007129
31,4615.51,0.72973,0.64037,1.25398,0.99773,0.99537,0.99475,0.75609,0.73495,0.33995,1.30756,0.000703,0.000703,0.000703
32,4764.23,0.73194,0.64011,1.25373,0.99288,0.99716,0.99477,0.76069,0.72691,0.34135,1.29602,0.0006931,0.0006931,0.0006931
33,4916.06,0.72211,0.64095,1.24692,0.99659,0.99518,0.99476,0.758,0.72621,0.34082,1.30262,0.0006832,0.0006832,0.0006832
34,5065.14,0.7189,0.62992,1.24699,0.99457,0.9949,0.99469,0.75718,0.72251,0.35595,1.29608,0.0006733,0.0006733,0.0006733
35,5212.7,0.72434,0.63036,1.2462,0.99546,0.99489,0.99482,0.75977,0.7184,0.33215,1.29511,0.0006634,0.0006634,0.0006634
36,5361.57,0.71909,0.62167,1.24799,0.99493,0.99376,0.99473,0.75885,0.73573,0.3433,1.31154,0.0006535,0.0006535,0.0006535
37,5513.01,0.71326,0.62144,1.24211,0.99603,0.99561,0.99477,0.76018,0.72382,0.33628,1.29771,0.0006436,0.0006436,0.0006436
38,5665.81,0.71352,0.62421,1.23843,0.99659,0.99543,0.99484,0.76209,0.7257,0.33485,1.2981,0.0006337,0.0006337,0.0006337
39,5815.52,0.71259,0.61229,1.23274,0.99659,0.99419,0.99481,0.75718,0.72407,0.33354,1.29813,0.0006238,0.0006238,0.0006238
40,5965.86,0.71109,0.61176,1.23748,0.9966,0.99433,0.99478,0.76141,0.71321,0.33462,1.28804,0.0006139,0.0006139,0.0006139
41,6115.25,0.71409,0.6117,1.23821,0.9967,0.9949,0.99479,0.7658,0.71428,0.33312,1.28234,0.000604,0.000604,0.000604
42,6268.24,0.70422,0.60692,1.23184,0.99717,0.99546,0.99479,0.76712,0.71394,0.33277,1.28573,0.0005941,0.0005941,0.0005941
43,6417.89,0.71001,0.59575,1.2302,0.99716,0.99638,0.99483,0.77277,0.70556,0.3198,1.27779,0.0005842,0.0005842,0.0005842
44,6566.05,0.7067,0.59244,1.22943,0.99607,0.99433,0.99479,0.76089,0.72372,0.32981,1.29683,0.0005743,0.0005743,0.0005743
45,6714.93,0.70095,0.59525,1.22988,0.99659,0.99533,0.99484,0.76136,0.72176,0.32987,1.29026,0.0005644,0.0005644,0.0005644
46,6862.9,0.69932,0.58851,1.22827,0.99694,0.99546,0.99486,0.76735,0.71073,0.32147,1.27873,0.0005545,0.0005545,0.0005545
47,7012.73,0.70117,0.58842,1.22493,0.99626,0.99546,0.99484,0.76657,0.71459,0.3174,1.28229,0.0005446,0.0005446,0.0005446
48,7159.98,0.68967,0.57653,1.21928,0.9976,0.99603,0.99488,0.76825,0.70806,0.31883,1.27394,0.0005347,0.0005347,0.0005347
49,7306.88,0.7006,0.58388,1.22716,0.99842,0.99603,0.99486,0.7696,0.70789,0.31854,1.27882,0.0005248,0.0005248,0.0005248
50,7454.51,0.69456,0.5835,1.22148,0.99659,0.99509,0.99483,0.7677,0.70612,0.31465,1.27556,0.0005149,0.0005149,0.0005149
51,7603.98,0.69575,0.57787,1.22273,0.9966,0.99652,0.99487,0.77111,0.70664,0.31272,1.27568,0.000505,0.000505,0.000505
52,7752.91,0.6919,0.57554,1.21983,0.99716,0.99706,0.9949,0.77382,0.70323,0.31135,1.27208,0.0004951,0.0004951,0.0004951
53,7901.22,0.68976,0.57068,1.21889,0.99716,0.99715,0.99491,0.76821,0.70014,0.31066,1.26961,0.0004852,0.0004852,0.0004852
54,8049,0.6905,0.56941,1.21715,0.99753,0.9966,0.99488,0.7692,0.70329,0.30396,1.27436,0.0004753,0.0004753,0.0004753
55,8197.14,0.68315,0.56533,1.21622,0.99773,0.99578,0.99486,0.77354,0.69911,0.30443,1.27024,0.0004654,0.0004654,0.0004654
56,8345.36,0.68411,0.56468,1.21196,0.99477,0.99773,0.9948,0.77223,0.70133,0.30655,1.27119,0.0004555,0.0004555,0.0004555
57,8494.09,0.68618,0.5684,1.21755,0.99874,0.99603,0.99486,0.7688,0.70257,0.3042,1.27654,0.0004456,0.0004456,0.0004456
58,8642.45,0.68281,0.56191,1.2151,0.99716,0.9959,0.99487,0.77427,0.6966,0.30489,1.26549,0.0004357,0.0004357,0.0004357
59,8793.17,0.67948,0.55787,1.20747,0.99715,0.99773,0.99486,0.77332,0.70309,0.30872,1.27283,0.0004258,0.0004258,0.0004258
60,8943.89,0.6804,0.54877,1.21217,0.99698,0.99716,0.99488,0.77053,0.70211,0.30244,1.2739,0.0004159,0.0004159,0.0004159
61,9093.97,0.6848,0.55153,1.21267,0.99773,0.9965,0.99489,0.77008,0.70416,0.30647,1.2701,0.000406,0.000406,0.000406
62,9241.62,0.67557,0.5425,1.20535,0.99779,0.99603,0.99488,0.77173,0.70524,0.30963,1.2707,0.0003961,0.0003961,0.0003961
63,9388.44,0.67475,0.54854,1.20335,0.99693,0.99603,0.99487,0.77085,0.69688,0.29938,1.26507,0.0003862,0.0003862,0.0003862
64,9536.62,0.66847,0.54381,1.20181,0.99577,0.99546,0.99485,0.77247,0.69776,0.29754,1.26636,0.0003763,0.0003763,0.0003763
65,9683.45,0.6685,0.5325,1.19878,0.99715,0.99716,0.99484,0.77478,0.69795,0.29391,1.26243,0.0003664,0.0003664,0.0003664
66,9834.52,0.67133,0.54312,1.20577,0.99773,0.9982,0.99482,0.77686,0.69404,0.29559,1.26012,0.0003565,0.0003565,0.0003565
67,9991.59,0.66377,0.53995,1.19626,0.9983,0.99712,0.99486,0.77526,0.69388,0.29384,1.26008,0.0003466,0.0003466,0.0003466
68,10139.9,0.66701,0.53368,1.20139,0.99717,0.99758,0.99487,0.77654,0.69457,0.29549,1.25969,0.0003367,0.0003367,0.0003367
69,10285.1,0.66579,0.53289,1.20044,0.99734,0.99603,0.99488,0.77774,0.69409,0.29401,1.25796,0.0003268,0.0003268,0.0003268
70,10435.6,0.66665,0.53285,1.19464,0.99692,0.99716,0.99489,0.77559,0.69791,0.30006,1.26392,0.0003169,0.0003169,0.0003169
71,10585.1,0.6691,0.53359,1.19941,0.9971,0.9983,0.99489,0.77864,0.69464,0.29683,1.26213,0.000307,0.000307,0.000307
72,10738.9,0.6614,0.52247,1.19759,0.99716,0.99737,0.99489,0.7768,0.69296,0.29277,1.26019,0.0002971,0.0002971,0.0002971
73,10889.9,0.66276,0.5301,1.19434,0.99805,0.99603,0.99489,0.77726,0.6922,0.29026,1.26017,0.0002872,0.0002872,0.0002872
74,11038.4,0.66024,0.52009,1.19679,0.99773,0.99567,0.99491,0.77812,0.69252,0.29319,1.26011,0.0002773,0.0002773,0.0002773
75,11186.8,0.65994,0.52498,1.19409,0.99728,0.9949,0.9949,0.7769,0.69047,0.29054,1.25569,0.0002674,0.0002674,0.0002674
76,11335.8,0.65736,0.51645,1.18711,0.99031,0.99546,0.9947,0.77716,0.68966,0.29093,1.25674,0.0002575,0.0002575,0.0002575
77,11484,0.65639,0.51673,1.19258,0.99716,0.99704,0.9949,0.77968,0.68673,0.28898,1.25221,0.0002476,0.0002476,0.0002476
78,11635,0.6525,0.50885,1.18785,0.99603,0.99739,0.9949,0.78004,0.68729,0.28736,1.25216,0.0002377,0.0002377,0.0002377
79,11785.9,0.64458,0.5098,1.18364,0.99716,0.99611,0.99489,0.77964,0.68779,0.28723,1.25452,0.0002278,0.0002278,0.0002278
80,11931.7,0.65017,0.51248,1.19108,0.99755,0.99603,0.9949,0.78069,0.68546,0.28433,1.25106,0.0002179,0.0002179,0.0002179
81,12083.3,0.64204,0.50471,1.18559,0.99737,0.99603,0.99489,0.78008,0.68678,0.28626,1.25278,0.000208,0.000208,0.000208
82,12229,0.64877,0.51247,1.18654,0.99763,0.9966,0.9949,0.77851,0.68985,0.28735,1.25702,0.0001981,0.0001981,0.0001981
83,12375.1,0.63657,0.49413,1.17352,0.99758,0.9966,0.9949,0.78026,0.68706,0.28829,1.25321,0.0001882,0.0001882,0.0001882
84,12521.3,0.65114,0.50158,1.186,0.9976,0.9966,0.9949,0.7788,0.68841,0.28596,1.25383,0.0001783,0.0001783,0.0001783
85,12665.4,0.64273,0.50368,1.18363,0.99763,0.9966,0.9949,0.77977,0.68639,0.28418,1.25223,0.0001684,0.0001684,0.0001684
86,12812.5,0.64004,0.50384,1.17877,0.9983,0.99676,0.99492,0.78139,0.6848,0.2829,1.2508,0.0001585,0.0001585,0.0001585
87,12965.7,0.63618,0.50096,1.17498,0.9983,0.99694,0.99492,0.7811,0.68529,0.28364,1.25233,0.0001486,0.0001486,0.0001486
88,13112.9,0.63951,0.49264,1.17814,0.99806,0.99716,0.99491,0.78133,0.68656,0.28622,1.25337,0.0001387,0.0001387,0.0001387
89,13260.3,0.63624,0.4975,1.17641,0.99773,0.99649,0.99491,0.78182,0.68459,0.28316,1.251,0.0001288,0.0001288,0.0001288
90,13414,0.62986,0.48731,1.17519,0.9977,0.9966,0.99491,0.781,0.68488,0.28374,1.2512,0.0001189,0.0001189,0.0001189
91,13550.2,0.62171,0.29262,1.21443,0.99773,0.99653,0.99493,0.78023,0.68458,0.2856,1.25052,0.000109,0.000109,0.000109
92,13683.7,0.61909,0.28581,1.21072,0.99773,0.997,0.99494,0.78069,0.68525,0.28368,1.25177,9.91e-05,9.91e-05,9.91e-05
93,13817.4,0.61498,0.28201,1.20907,0.99795,0.9966,0.99493,0.78001,0.68548,0.28203,1.253,8.92e-05,8.92e-05,8.92e-05
94,13951.1,0.61092,0.28018,1.20817,0.99753,0.9966,0.99493,0.78076,0.68488,0.28059,1.25323,7.93e-05,7.93e-05,7.93e-05
95,14084.4,0.60851,0.27752,1.20162,0.99773,0.99772,0.99494,0.78033,0.68378,0.28092,1.25267,6.94e-05,6.94e-05,6.94e-05
96,14217.4,0.60359,0.27696,1.19422,0.99773,0.9976,0.99494,0.78066,0.68393,0.28106,1.2521,5.95e-05,5.95e-05,5.95e-05
97,14349.8,0.60428,0.27402,1.19583,0.99773,0.99761,0.99494,0.78098,0.68453,0.28069,1.25289,4.96e-05,4.96e-05,4.96e-05
98,14483.5,0.59963,0.27455,1.19559,0.99773,0.99762,0.99493,0.78104,0.68373,0.28081,1.25198,3.97e-05,3.97e-05,3.97e-05
99,14616.8,0.59909,0.27262,1.19536,0.99773,0.99769,0.99493,0.78069,0.68405,0.2802,1.25292,2.98e-05,2.98e-05,2.98e-05
